X Y Z
-485264.062500 -1116039.625000 247.889999 
-485262.718750 -1116028.375000 245.429993 
-485262.625000 -1116026.000000 245.080002 
-485262.562500 -1116024.875000 244.929993 
-485262.468750 -1116022.500000 244.679993 
-485260.250000 -1116008.875000 244.229996 
-485261.375000 -1116027.500000 245.240005 
-485261.343750 -1116026.375000 245.009995 
-485261.031250 -1116020.500000 244.550003 
-485260.718750 -1116015.875000 244.429993 
-485263.875000 -1116051.625000 247.779999 
-485263.593750 -1116047.000000 247.570007 
-485263.437500 -1116044.625000 247.490005 
-485263.343750 -1116043.500000 247.509995 
-485261.468750 -1116028.625000 245.300003 
-485262.156250 -1116045.000000 247.360001 
-485260.375000 -1116028.625000 245.619995 
-485260.062500 -1116027.125000 245.169998 
-485260.000000 -1116026.000000 244.929993 
-485258.593750 -1116020.750000 244.520004 
-485262.625000 -1116053.000000 247.809998 
-485260.906250 -1116045.750000 247.259995 
-485260.750000 -1116043.500000 247.169998 
-485258.875000 -1116026.500000 245.029999 
-485258.843750 -1116025.375000 244.860001 
-485258.781250 -1116024.250000 244.750000 
-485256.937500 -1116013.000000 244.300003 
-485256.468750 -1116009.875000 244.259995 
-485256.343750 -1116004.875000 244.259995 
-485259.781250 -1116045.125000 247.110001 
-485259.093750 -1116036.000000 247.210007 
-485258.156250 -1116032.750000 245.389999 
-485260.062500 -1116051.000000 247.639999 
-485259.937500 -1116048.625000 247.500000 
-485258.625000 -1116044.375000 246.919998 
-485258.500000 -1116042.000000 246.770004 
-485258.406250 -1116040.875000 246.800003 
-485258.125000 -1116036.250000 246.630005 
-485256.593750 -1116029.500000 245.240005 
-485256.500000 -1116025.750000 244.929993 
-485256.218750 -1116022.500000 244.660004 
-485253.500000 -1116004.750000 244.270004 
-485259.125000 -1116053.625000 247.679993 
-485258.906250 -1116050.250000 247.539993 
-485257.187500 -1116041.125000 246.509995 
-485256.968750 -1116038.750000 246.520004 
-485256.906250 -1116037.625000 246.360001 
-485257.000000 -1116035.250000 245.369995 
-485256.906250 -1116034.125000 245.429993 
-485256.812500 -1116032.875000 245.289993 
-485256.750000 -1116031.750000 245.250000 
-485254.718750 -1116019.500000 244.460007 
-485257.781250 -1116052.750000 247.559998 
-485255.750000 -1116036.875000 245.710007 
-485255.687500 -1116035.750000 245.389999 
-485255.625000 -1116034.625000 245.320007 
-485255.343750 -1116030.000000 245.190002 
-485255.093750 -1116026.500000 244.970001 
-485253.625000 -1116020.125000 244.460007 
-485256.062500 -1116045.125000 246.740005 
-485255.781250 -1116039.250000 246.179993 
-485254.625000 -1116037.500000 245.649994 
-485254.593750 -1116036.375000 245.470001 
-485255.281250 -1116035.375000 245.380005 
-485252.437500 -1116019.250000 244.460007 
-485251.812500 -1116010.000000 244.330002 
-485256.437500 -1116052.000000 247.380005 
-485254.718750 -1116039.875000 246.020004 
-485254.656250 -1116038.750000 245.839996 
-485253.500000 -1116036.625000 245.509995 
-485253.281250 -1116033.250000 245.350006 
-485252.968750 -1116027.375000 244.899994 
-485252.906250 -1116026.250000 244.830002 
-485250.250000 -1116007.625000 244.360001 
-485253.656250 -1116040.250000 245.949997 
-485253.593750 -1116037.875000 245.649994 
-485251.500000 -1116026.250000 244.830002 
-485251.906250 -1116033.125000 245.320007 
-485250.093750 -1116025.250000 244.789993 
-485249.812500 -1116020.625000 244.539993 
-485249.218750 -1116012.625000 244.520004 
-485249.125000 -1116011.375000 244.490005 
-485252.906250 -1116051.750000 246.919998 
