OBJECTID;IN_FID;NEAR_FID;NEAR_DIST;NEAR_RANK;FROM_X;FROM_Y;NEAR_X;NEAR_Y
;3183;3269;0,166113767120988;1;-485150,058917162650000;-1116131,958012044000000;-485149,922943626820000;-1116131,862592018900000
;3184;3270;0,149325980592291;1;-485150,137641916460000;-1116133,408734483900000;-485150,011153269730000;-1116133,488099909200000
;3185;3271;0,142047497444766;1;-485150,167770029050000;-1116133,958734556100000;-485150,034274725190000;-1116133,910190809100000
;3186;3272;0,219755813553279;1;-485150,209626492520000;-1116134,466656282100000;-485150,066396961570000;-1116134,299989191600000
;3187;3273;0,145155804633342;1;-485150,214905602920000;-1116135,538924154400000;-485150,072361666940000;-1116135,511511859000000
;3188;3274;0,170079993337680;1;-485150,052093740380000;-1116137,010406259700000;-485149,898446689130000;-1116137,083343135000000
;3189;3274;0,154297484326363;1;-485150,049213525080000;-1116137,050524316500000;-485149,898446689130000;-1116137,083343135000000
;3190;3275;0,138427664073491;1;-485150,034123709370000;-1116137,132292355400000;-485149,898330353670000;-1116137,105415176800000
;3191;3276;0,323225563173788;1;-485149,981254577640000;-1116137,440032959000000;-485149,895657356940000;-1116137,128347411500000
;3192;3277;0,145145939536531;1;-485149,867937216010000;-1116138,118618016600000;-485149,742480564460000;-1116138,045625055700000
;3193;3278;0,145864921778046;1;-485149,839042796700000;-1116138,313676800800000;-485149,697533036820000;-1116138,349054240900000
;3194;3279;0,147129995784956;1;-485149,604780786730000;-1116139,433824629300000;-485149,489891562090000;-1116139,341913249600000
;3195;3280;0,138672579039717;1;-485149,484620892380000;-1116139,809522800400000;-485149,359373088870000;-1116139,749999091700000
;3196;3281;0,242246457457077;1;-485149,251459333810000;-1116142,748054221500000;-485149,106111459380000;-1116142,941851387500000
;3197;3281;0,139417834666369;1;-485149,240407150700000;-1116142,904408098200000;-485149,106111459380000;-1116142,941851387500000
;3198;3283;0,139011453776573;1;-485149,242668376070000;-1116142,985869146900000;-485149,104082522860000;-1116142,996738625700000
;3199;3284;0,219165920640574;1;-485149,801501896700000;-1116144,940641249800000;-485149,717703414030000;-1116145,143154249500000
;3200;3285;0,190636094387303;1;-485150,311730452520000;-1116145,594675109300000;-485150,161668888760000;-1116145,712249118100000
;3201;3286;0,236054746399640;1;-485152,107780885300000;-1116147,074607243300000;-485152,101403356120000;-1116147,310575822600000
;3202;3287;0,225011842190073;1;-485153,158673343130000;-1116147,587792118100000;-485153,004284191350000;-1116147,751481821300000
;3203;3288;0,379329309528273;1;-485154,643933489100000;-1116147,981970201500000;-485154,280354745570000;-1116148,090142389800000
;3204;3289;0,261737635648380;1;-485155,184677701560000;-1116148,183273005800000;-485154,984959931400000;-1116148,352445705100000
;3205;3290;0,257482726538840;1;-485155,516943187800000;-1116148,409336349200000;-485155,417911369940000;-1116148,647012712200000
;3206;3291;0,300800985739647;1;-485156,312500000000000;-1116148,500000000000000;-485156,454544666400000;-1116148,765150043900000
;3207;3292;0,232362914568388;1;-485156,924727914740000;-1116148,621740947700000;-485156,881249999980000;-1116148,850000000100000
;3208;3293;0,243381939005822;1;-485157,333333333310000;-1116148,791666666700000;-485157,166036281790000;-1116148,968433362700000
;3209;3294;0,378483287755688;1;-485157,947000323390000;-1116148,926634491000000;-485157,593744609740000;-1116149,062502073100000
;3210;3295;0,187091659916984;1;-485158,388058968530000;-1116148,992547086000000;-485158,374066393010000;-1116149,179114760100000
;3211;3296;0,186205087796228;1;-485159,254871859040000;-1116149,649350005900000;-485159,080356382010000;-1116149,714285997400000
;3212;3297;0,269565986795901;1;-485159,656250000000000;-1116150,334668487800000;-485159,597830350630000;-1116150,597828070200000
;3213;3300;0,732831993193958;1;-485160,441985694810000;-1116150,482138964600000;-485160,343732515230000;-1116151,208354526900000
;3214;3300;0,675230191951712;1;-485160,773437500000000;-1116150,687500000000000;-485160,343732515230000;-1116151,208354526900000
;3215;3301;0,726441939924325;1;-485161,049394565870000;-1116150,810469580600000;-485161,079636739510000;-1116151,536281748400000
;3216;3302;0,753684588475153;1;-485161,483442352560000;-1116150,375000000000000;-485162,237126941040000;-1116150,375000000000000
;3217;3303;0,432868354706097;1;-485162,299278493450000;-1116149,899025764300000;-485162,311297978160000;-1116150,331727213900000
;3218;3304;0,375067947000801;1;-485162,725323003250000;-1116149,595390113500000;-485163,021383718820000;-1116149,825659559100000
;3219;3305;0,416844348043923;1;-485163,379629040890000;-1116149,166645473100000;-485163,391203585950000;-1116149,583329094600000
;3220;3306;0,512982217206843;1;-485163,562476157150000;-1116149,083322736400000;-485164,031245231450000;-1116149,291664547300000
;3221;3307;0,362906083930284;1;-485164,500000000000000;-1116148,774198907200000;-485164,500000000000000;-1116149,137104991100000
;3222;3309;0,492788873940989;1;-485165,874955985930000;-1116148,163468309900000;-485166,227936787530000;-1116148,507336639300000
;3223;3309;0,449108584603021;1;-485166,098209420160000;-1116148,077372302500000;-485166,227936787530000;-1116148,507336639300000
;3224;3310;0,279727514872734;1;-485166,367233692550000;-1116147,968720198400000;-485166,624993641920000;-1116148,077381558000000
;3225;3311;0,209234238863429;1;-485167,164869442230000;-1116147,603446461500000;-485167,283406669270000;-1116147,775864246300000
;3226;3311;0,213380482037619;1;-485167,332375329450000;-1116147,568178665600000;-485167,283406669270000;-1116147,775864246300000
